revenue,operating_expenses,operating_profit,depreciation,interest,profit_before_tax,tax,net_profit,profit_TTM
1057.0,847.4,192.1,12.9,0.7,195.9,49.8,146.1,535.9
4644.8,3885.4,549.3,212.8,28.9,517.7,131.5,387.9,1202.7
1357.1,912.7,382.1,24.5,7.4,412.5,88.4,323.1,1216.1
4650.0,4305.4,325.0,41.3,26.6,276.7,73.8,202.9,767.5
2956.5,1026.7,647.7,0.0,1282.1,533.4,131.5,401.8,1606.2
6951.9,2982.4,3664.0,974.5,520.1,2474.9,759.0,1747.8,6337.0
3766.5,2169.3,1504.6,432.1,640.8,369.9,84.9,275.9,1315.1
3272.2,2903.6,322.9,388.8,208.4,-228.6,-28.2,-179.2,-491.7
1279.3,1026.5,208.3,34.1,26.6,192.0,42.0,127.0,509.0
1049.8,737.8,290.7,33.7,2.3,275.9,80.6,195.3,660.2
1605.1,1386.7,208.2,67.6,15.7,135.1,-1.9,136.6,531.7
3503.4,2693.4,746.7,73.9,30.3,648.0,33.1,620.5,1432.9
2988.6,2556.9,402.5,115.7,6.2,309.8,83.5,226.3,779.8
7900.0,6122.1,1301.8,380.9,61.2,1335.7,352.5,793.0,2777.9
4869.1,4219.4,627.5,163.4,111.3,376.9,130.2,232.9,697.5
6304.9,5119.8,1159.8,360.3,132.8,679.9,205.8,474.3,1590.7
11463.0,9558.6,1870.4,226.6,715.1,924.4,358.0,526.0,2141.5
8643.8,6762.3,1716.2,208.7,50.9,1621.8,418.6,1205.4,5062.6
1376.4,1142.9,220.1,48.7,8.0,176.8,45.1,131.2,549.7
1215.8,1038.5,155.2,54.0,1.9,121.5,32.5,90.3,392.3
7406.4,5846.0,1373.4,417.5,68.2,1074.7,323.7,757.2,2325.5
1312.0,1184.5,94.0,14.3,0.2,113.0,30.5,74.2,336.4
12661.3,11619.4,1005.0,174.4,15.6,851.9,228.6,623.6,2332.1
33122.2,9207.3,9166.0,0.0,14749.0,8313.8,2096.1,6204.1,13121.0
11206.8,8708.1,2130.1,91.8,6.5,2400.4,564.0,2020.0,6841.6
13381.8,2851.5,9449.7,158.5,4537.1,4757.6,1207.0,3550.8,13118.5
26022.7,14992.2,9949.9,208.8,4449.1,5292.0,1536.5,1929.0,7422.6
240.1,33.5,191.2,8.4,0.2,197.9,73.9,1491.2,5545.1
2360.3,1720.5,532.7,160.4,23.9,455.5,108.1,347.4,1047.5
1649.0,1374.6,164.9,41.2,17.2,215.9,56.6,166.3,540.5
35766.0,8430.4,9807.9,0.0,17527.7,6022.8,1679.7,4458.4,18602.9
16779.4,3704.9,3818.8,0.0,9255.7,2977.4,1488.6,1498.5,5388.7
834.6,637.5,181.7,81.7,28.4,46.1,12.1,34.0,289.7
2782.6,2293.7,473.6,82.9,21.1,385.0,96.7,291.6,1032.6
4146.1,2994.9,1014.2,108.3,1.5,1041.5,260.7,789.4,3323.0
3826.7,3152.8,621.4,211.3,124.3,336.1,121.8,227.2,783.7
5305.4,5513.0,-387.7,59.9,180.4,-447.9,-197.9,-238.1,71.3
103720.0,90103.9,12940.5,1605.3,973.2,10755.7,2812.2,8243.5,27505.3
37374.2,17530.1,19513.7,9734.3,5185.8,3353.7,1846.5,1340.7,7547.0
7229.7,3498.8,3633.7,1525.6,458.6,1746.7,452.0,1294.7,3333.5
3620.2,2720.7,741.6,389.3,247.7,238.5,41.6,125.6,498.4
2313.2,1997.0,288.9,143.5,95.4,77.1,18.8,58.4,153.1
1329.7,1101.8,222.7,110.6,19.5,97.9,24.8,73.1,292.4
1903.4,1767.7,122.7,23.0,17.6,95.0,24.3,70.7,437.7
4643.5,3664.7,859.2,74.7,154.6,697.1,212.6,122.0,-1499.5
4284.3,3638.8,491.3,101.3,12.2,1317.0,318.1,999.8,2126.9
1407.9,1041.8,324.8,75.7,110.0,180.3,67.8,133.5,298.2
4485.2,3560.5,872.4,71.7,53.4,799.7,212.1,587.6,2536.2
608.3,497.7,109.9,22.6,18.4,69.7,8.8,60.9,279.9
771.8,544.2,191.7,26.5,0.8,200.3,48.3,152.0,606.3
4422.8,3222.7,1146.1,184.2,8.7,1007.2,226.4,800.7,2807.1
871.0,49.7,749.2,2.8,548.4,198.0,39.9,158.1,658.8
33891.2,8250.3,7706.6,0.0,17934.3,5098.0,1420.6,3860.0,13968.4
1166.0,978.8,167.5,45.9,4.9,136.4,43.7,101.9,461.3
1203.2,914.4,268.6,22.9,2.4,263.5,69.1,194.4,815.5
3063.8,2597.2,456.1,124.5,71.7,270.4,68.3,208.0,521.7
8438.5,2565.4,1535.4,0.0,4337.7,567.2,-41.5,622.0,2181.4
1011.4,852.5,144.3,23.4,6.1,129.4,32.2,96.9,380.7
476.2,387.2,76.5,8.9,1.4,77.2,19.8,56.9,232.4
5467.3,4770.5,615.0,78.4,45.8,572.6,200.2,381.0,1137.7
4695.2,987.6,3235.1,38.5,2204.2,1065.0,288.8,772.9,3022.8
6854.5,4944.4,1733.8,290.0,25.8,1594.2,438.4,1130.9,3449.1
1486.1,333.9,386.6,0.0,765.6,330.6,50.0,280.6,943.8
34760.3,24639.4,8137.0,1178.2,182.5,8760.2,2036.5,6799.8,28059.6
1492.1,989.0,482.1,44.3,1.1,457.8,117.8,340.1,1173.2
2299.8,1648.4,546.5,153.1,16.5,481.8,119.0,367.4,1186.2
7032.9,5929.4,1058.7,54.0,46.2,1003.3,245.0,756.9,2024.2
1797.2,1607.8,174.5,32.1,21.5,135.8,34.9,97.2,432.0
2011.3,1575.4,346.2,38.3,6.8,390.9,99.6,329.1,1445.5
1792.0,1452.7,325.8,65.8,27.0,240.3,56.7,178.3,665.6
2730.0,2593.9,114.1,74.0,14.7,47.5,15.2,32.2,617.6
1476.4,885.3,462.4,37.0,90.2,464.0,112.2,622.8,2239.0
3320.2,2543.0,660.9,98.3,28.1,650.8,144.3,515.0,1755.7
282.6,170.5,100.1,16.9,2.7,92.4,23.0,69.4,273.3
1995.0,1430.0,479.0,95.0,1.0,469.0,121.0,348.0,1331.8
619.4,423.5,177.8,35.9,7.8,152.2,41.5,109.3,301.4
7217.6,4888.8,2008.3,375.5,35.3,1912.5,434.5,1482.2,5091.2
9210.3,8002.0,1057.5,101.2,74.2,1032.8,246.8,452.3,991.0
4388.3,3027.4,1087.2,142.5,12.7,1205.7,291.1,1016.2,3581.0
876.0,631.2,233.7,46.1,2.2,196.4,15.8,178.5,697.8
2560.5,2226.7,318.3,118.4,9.8,205.6,51.1,154.6,562.8
833.6,691.3,98.5,8.3,0.4,133.6,32.2,127.5,472.7
2154.4,1798.6,260.7,40.8,3.1,311.9,79.7,223.3,910.5
4408.9,3872.4,499.1,141.5,29.7,365.3,95.2,269.4,872.7
6548.2,1603.8,1400.3,0.0,3544.1,1342.7,342.6,994.1,3671.4
1229.3,1041.3,146.1,10.8,0.4,176.7,52.3,154.2,643.9
944.5,780.2,103.0,27.4,12.5,124.5,35.4,98.0,459.3
1556.9,1311.2,228.8,65.4,26.1,154.3,27.8,126.5,551.7
33191.0,29405.5,3580.2,837.3,199.6,2748.7,696.3,2444.1,5283.8
985.2,667.5,289.5,18.1,0.4,299.2,81.7,217.5,647.8
3209.1,2745.1,462.3,141.5,121.5,-124.4,55.9,-81.9,-196.3
